winner,weight_class,title_fight,height_fighter1,reach_fighter1,stance_fighter1,SLpM_fighter1,Str_Acc_fighter1,SApM_fighter1,Str_Def_fighter1,TD_Avg_fighter1,TD_Acc_fighter1,TD_Def_fighter1,Sub_Avg_fighter1,win%_fighter1,height_fighter2,reach_fighter2,stance_fighter2,SLpM_fighter2,Str_Acc_fighter2,SApM_fighter2,Str_Def_fighter2,TD_Avg_fighter2,TD_Acc_fighter2,TD_Def_fighter2,Sub_Avg_fighter2,win%_fighter2,reach_diff,age_fighter1,age_fighter2
1,Middleweight,f,185.42,190.5,Southpaw,2.87,51.0,3.43,45.0,2.48,42.0,58.0,0.2,84.61539,182.88,193.04,Orthodox,3.1,47.0,2.48,57.0,2.55,34.0,77.0,0.5,67.741936,-2.539999999999992,30,35
0,Welterweight,f,185.42,187.96,Southpaw,2.89,40.0,1.86,63.0,2.13,44.0,58.0,0.2,82.35294,180.34,193.04,Orthodox,3.01,53.0,2.08,46.0,3.45,38.0,57.0,0.9,73.07692,-5.079999999999984,34,29
0,Heavyweight,f,185.42,190.5,Orthodox,4.0,36.0,7.65,51.0,0.0,0.0,0.0,0.0,80.0,193.04,198.12,Orthodox,5.81,43.0,5.76,51.0,0.0,0.0,77.0,0.0,64.70588000000001,-7.6200000000000045,37,28
1,Featherweight,f,180.34,180.34,Orthodox,2.22,46.0,2.58,47.0,5.73,52.0,66.0,0.0,91.666664,170.18,177.8,Orthodox,2.56,31.0,4.31,60.0,1.0,20.0,62.0,0.0,72.72726999999999,2.539999999999992,25,30
0,Bantamweight,f,167.64000000000001,167.64000000000001,Switch,5.06,45.0,5.98,54.0,1.29,28.0,84.0,0.7,67.85714,172.72,177.8,Switch,3.23,44.0,3.93,52.0,0.78,37.0,68.0,1.3,66.666664,-10.159999999999997,31,25
0,Heavyweight,f,190.5,195.58,Southpaw,3.43,45.0,3.08,44.0,1.09,24.0,69.0,0.0,75.0,190.5,187.96,Orthodox,4.03,50.0,6.17,53.0,0.77,50.0,100.0,0.0,77.77778,7.6200000000000045,32,26
0,Featherweight,f,170.18,185.42000000000002,Orthodox,2.32,38.0,3.23,47.0,0.37,7.0,35.0,1.5,70.0,180.34,190.5,Orthodox,6.54,46.0,5.47,66.0,0.55,100.0,94.0,0.3,91.666664,-5.079999999999984,30,26
1,Lightweight,f,177.8,177.8,Orthodox,1.7,53.0,1.75,51.0,2.6,51.0,55.0,1.1,80.0,180.34,185.42000000000002,Orthodox,1.64,41.0,2.17,54.0,1.75,41.0,50.0,0.3,71.42857,-7.6200000000000045,30,28
0,Welterweight,t,185.42,182.88,Southpaw,1.78,42.0,1.95,64.0,2.5,25.0,65.0,1.0,73.52941,175.26,187.96,Orthodox,2.62,48.0,2.26,61.0,1.34,42.0,94.0,0.5,82.608696,-5.0800000000000125,40,35
1,Women's Featherweight,t,172.72,172.72,Orthodox,7.02,52.0,1.79,70.0,0.85,62.0,91.0,0.3,90.90909,170.18,177.8,Orthodox,1.5,41.0,4.33,41.0,0.9,33.0,28.0,1.4,70.37037,-5.0800000000000125,32,36
